id-partido,temporada,fecha,jornada,equipo-local,equipo-visitante,goles-local,goles-visitante,estadio
1,2022-2023_1_C,6/01/2023,Jornada 1,Necaxa,Club Atlético de San Luis,2,3,Victoria
2,2022-2023_1_C,7/01/2023,Jornada 1,América,Querétaro,0,0,Azteca
3,2022-2023_1_C,7/01/2023,Jornada 1,Monterrey,Guadalajara,0,1,Estadio BBVA
4,2022-2023_1_C,8/01/2023,Jornada 1,Pumas,FC Juárez,2,1,Olímpico Universitario
5,2022-2023_1_C,8/01/2023,Jornada 1,Santos Laguna,Tigres,0,3,TSM Corona
6,2022-2023_1_C,8/01/2023,Jornada 1,Tijuana,Cruz Azul,1,1,Caliente
7,2022-2023_1_C,9/01/2023,Jornada 1,Pachuca,Puebla,5,1,Hidalgo
8,2022-2023_1_C,12/01/2023,Jornada 2,Atlas,Mazatlán FC,2,1,Jalisco
9,2022-2023_1_C,13/01/2023,Jornada 2,Club Atlético de San Luis,Guadalajara,0,0,Alfonso Lastras Ramírez
10,2022-2023_1_C,13/01/2023,Jornada 2,Puebla,Querétaro,2,0,Cuauhtémoc
11,2022-2023_1_C,14/01/2023,Jornada 2,Cruz Azul,Monterrey,2,3,Azteca
12,2022-2023_1_C,14/01/2023,Jornada 2,Toluca,América,2,2,Nemesio Diez
13,2022-2023_1_C,14/01/2023,Jornada 2,FC Juárez,Tijuana,3,0,Olímpico Benito Juárez
14,2022-2023_1_C,14/01/2023,Jornada 2,Santos Laguna,Pumas,3,0,TSM Corona
15,2022-2023_1_C,15/01/2023,Jornada 2,Tigres,Pachuca,4,1,Universitario
16,2022-2023_1_C,16/01/2023,Jornada 2,León,Necaxa,2,1,Nou Camp
17,2022-2023_1_C,20/01/2023,Jornada 3,Mazatlán FC,Santos Laguna,1,2,Estadio Mazatlán
18,2022-2023_1_C,20/01/2023,Jornada 3,Tijuana,Tigres,1,1,Caliente
19,2022-2023_1_C,21/01/2023,Jornada 3,Monterrey,Club Atlético de San Luis,3,1,Estadio BBVA
20,2022-2023_1_C,21/01/2023,Jornada 3,América,Puebla,2,2,Azteca
21,2022-2023_1_C,21/01/2023,Jornada 3,Guadalajara,Toluca,1,2,Estadio AKRON
22,2022-2023_1_C,21/01/2023,Jornada 3,Necaxa,Cruz Azul,1,0,Victoria
23,2022-2023_1_C,22/01/2023,Jornada 3,Pumas,León,4,1,Olímpico Universitario
24,2022-2023_1_C,22/01/2023,Jornada 3,Querétaro,Atlas,3,3,La Corregidora
25,2022-2023_1_C,22/01/2023,Jornada 3,Pachuca,FC Juárez,4,1,Hidalgo
26,2022-2023_1_C,26/01/2023,Jornada 4,Atlas,Santos Laguna,2,2,Jalisco
27,2022-2023_1_C,27/01/2023,Jornada 4,Puebla,Monterrey,1,2,Cuauhtémoc
28,2022-2023_1_C,27/01/2023,Jornada 4,Tijuana,Pumas,0,0,Caliente
29,2022-2023_1_C,28/01/2023,Jornada 4,Tigres,Club Atlético de San Luis,0,0,Universitario
30,2022-2023_1_C,28/01/2023,Jornada 4,América,Mazatlán FC,6,0,Azteca
31,2022-2023_1_C,28/01/2023,Jornada 4,FC Juárez,Guadalajara,1,2,Olímpico Benito Juárez
32,2022-2023_1_C,29/01/2023,Jornada 4,Toluca,León,0,0,Nemesio Diez
33,2022-2023_1_C,29/01/2023,Jornada 4,Pachuca,Necaxa,2,1,Hidalgo
34,2022-2023_1_C,1/02/2023,Jornada 1,Atlas,Toluca,0,0,Jalisco
35,2022-2023_1_C,2/02/2023,Jornada 5,Club Atlético de San Luis,Puebla,2,0,Alfonso Lastras Ramírez
36,2022-2023_1_C,3/02/2023,Jornada 5,Necaxa,Tijuana,1,1,Victoria
37,2022-2023_1_C,3/02/2023,Jornada 5,Mazatlán FC,FC Juárez,2,3,Estadio Mazatlán
38,2022-2023_1_C,4/02/2023,Jornada 5,León,Pachuca,0,1,Nou Camp
39,2022-2023_1_C,4/02/2023,Jornada 5,Cruz Azul,Tigres,0,1,Azteca
40,2022-2023_1_C,4/02/2023,Jornada 5,Santos Laguna,América,2,2,TSM Corona
41,2022-2023_1_C,5/02/2023,Jornada 5,Pumas,Atlas,2,2,Olímpico Universitario
42,2022-2023_1_C,5/02/2023,Jornada 5,Guadalajara,Querétaro,1,1,Estadio AKRON
43,2022-2023_1_C,5/02/2023,Jornada 5,Monterrey,Toluca,2,1,Estadio BBVA
44,2022-2023_1_C,9/02/2023,Jornada 6,Querétaro,León,0,3,La Corregidora
45,2022-2023_1_C,9/02/2023,Jornada 6,Atlas,Monterrey,0,2,Jalisco
46,2022-2023_1_C,10/02/2023,Jornada 6,Puebla,Mazatlán FC,3,1,Cuauhtémoc
47,2022-2023_1_C,10/02/2023,Jornada 6,Tijuana,Club Atlético de San Luis,1,0,Caliente
48,2022-2023_1_C,11/02/2023,Jornada 6,América,Necaxa,2,1,Azteca
49,2022-2023_1_C,11/02/2023,Jornada 6,FC Juárez,Santos Laguna,3,1,Olímpico Benito Juárez
50,2022-2023_1_C,11/02/2023,Jornada 6,Tigres,Pumas,4,2,Universitario
51,2022-2023_1_C,11/02/2023,Jornada 6,Pachuca,Guadalajara,1,1,Hidalgo
52,2022-2023_1_C,12/02/2023,Jornada 6,Toluca,Cruz Azul,3,1,Nemesio Diez
53,2022-2023_1_C,14/02/2023,Jornada 7,León,Puebla,2,0,Nou Camp
54,2022-2023_1_C,14/02/2023,Jornada 7,Tigres,FC Juárez,0,0,Universitario
55,2022-2023_1_C,14/02/2023,Jornada 7,Club Atlético de San Luis,América,1,3,Alfonso Lastras Ramírez
56,2022-2023_1_C,15/02/2023,Jornada 7,Monterrey,Querétaro,2,0,Estadio BBVA
57,2022-2023_1_C,15/02/2023,Jornada 7,Guadalajara,Tijuana,2,1,Estadio AKRON
58,2022-2023_1_C,15/02/2023,Jornada 7,Necaxa,Pumas,3,1,Victoria
59,2022-2023_1_C,16/02/2023,Jornada 7,Mazatlán FC,Pachuca,2,3,Estadio Mazatlán
60,2022-2023_1_C,17/02/2023,Jornada 8,FC Juárez,León,0,0,Olímpico Benito Juárez
61,2022-2023_1_C,17/02/2023,Jornada 8,Puebla,Cruz Azul,1,3,Cuauhtémoc
62,2022-2023_1_C,18/02/2023,Jornada 8,Club Atlético de San Luis,Santos Laguna,1,1,Alfonso Lastras Ramírez
63,2022-2023_1_C,18/02/2023,Jornada 8,Monterrey,Necaxa,2,1,Estadio BBVA
