POS,equipo,JJ,JG,JE,JP,GF,GC,DIF,PTS,JJ_L,JG_L,JE_L,JP_L,GF_L,GC_L,DIF_L,PTS_L,JJ_V,JG_V,JE_V,JP_V,GF_V,GC_V,DIF_V,PTS_V,temporada
1.0,Pachuca,17,12,2,3,30,15,15,38,8,6,2,0,14,5,9,20,9,6,0,3,16,10,6,18,2021-2022_C
2.0,Tigres,17,10,3,4,30,20,10,33,8,5,1,2,15,10,5,16,9,5,2,2,15,10,5,17,2021-2022_C
3.0,Atlas,17,7,6,4,21,15,6,27,8,3,3,2,8,7,1,12,9,4,3,2,13,8,5,15,2021-2022_C
4.0,América,17,7,5,5,24,17,7,26,8,3,2,3,12,9,3,11,9,4,3,2,12,8,4,15,2021-2022_C
5.0,Puebla,17,7,5,5,25,19,6,26,8,2,5,1,11,9,2,11,9,5,0,4,14,10,4,15,2021-2022_C
6.0,Guadalajara,17,7,5,5,25,21,4,26,9,4,2,3,14,12,2,14,8,3,3,2,11,9,2,12,2021-2022_C
7.0,Monterrey,17,7,5,5,21,17,4,26,9,5,3,1,12,6,6,18,8,2,2,4,9,11,-2,8,2021-2022_C
8.0,Cruz Azul,17,7,4,6,20,17,3,25,9,4,0,5,9,10,-1,12,8,3,4,1,11,7,4,13,2021-2022_C
9.0,Necaxa,17,7,2,8,21,21,0,23,9,3,0,6,8,13,-5,9,8,4,2,2,13,8,5,14,2021-2022_C
10.0,Atlético de San Luis,17,7,2,8,21,22,-1,23,9,4,1,4,10,10,0,13,8,3,1,4,11,12,-1,10,2021-2022_C
11.0,Pumas,17,6,4,7,24,21,3,22,8,4,2,2,14,7,7,14,9,2,2,5,10,14,-4,8,2021-2022_C
12.0,Mazatlán FC,17,6,3,8,20,24,-4,21,8,4,2,2,10,7,3,14,9,2,1,6,10,17,-7,7,2021-2022_C
13.0,León,17,5,6,6,17,22,-5,21,9,2,4,3,10,13,-3,10,8,3,2,3,7,9,-2,11,2021-2022_C
14.0,Santos Laguna,17,5,5,7,25,25,0,20,8,3,3,2,16,13,3,12,9,2,2,5,9,12,-3,8,2021-2022_C
15.0,Toluca,17,5,4,8,21,36,-15,19,9,2,2,5,12,19,-7,8,8,3,2,3,9,17,-8,11,2021-2022_C
16.0,Querétaro,17,3,8,6,18,21,-3,17,9,3,1,5,10,12,-2,10,8,0,7,1,8,9,-1,7,2021-2022_C
17.0,Tijuana,17,4,5,8,14,26,-12,17,8,3,4,1,10,8,2,13,9,1,1,7,4,18,-14,4,2021-2022_C
18.0,FC Juárez,17,3,2,12,10,28,-18,11,9,1,1,7,7,15,-8,4,8,2,1,5,3,13,-10,7,2021-2022_C
1.0,América,17,10,5,2,21,10,11,35,9,7,2,0,13,2,11,23,8,3,3,2,8,8,0,12,2021-2022_A
2.0,Atlas,17,8,5,4,21,10,11,29,9,4,2,3,8,5,3,14,8,4,3,1,13,5,8,15,2021-2022_A
3.0,León,17,8,5,4,20,14,6,29,8,3,3,2,11,6,5,12,9,5,2,2,9,8,1,17,2021-2022_A
4.0,Tigres,17,7,7,3,26,14,12,28,9,4,5,0,15,5,10,17,8,3,2,3,11,9,2,11,2021-2022_A
5.0,Santos Laguna,17,5,9,3,23,16,7,24,9,2,6,1,9,7,2,12,8,3,3,2,14,9,5,12,2021-2022_A
6.0,Toluca,17,6,6,5,22,22,0,24,8,3,4,1,13,9,4,13,9,3,2,4,9,13,-4,11,2021-2022_A
7.0,Puebla,17,6,6,5,16,16,0,24,9,3,3,3,9,9,0,12,8,3,3,2,7,7,0,12,2021-2022_A
8.0,Cruz Azul,17,5,8,4,21,17,4,23,8,3,3,2,11,7,4,12,9,2,5,2,10,10,0,11,2021-2022_A
9.0,Monterrey,17,5,7,5,19,16,3,22,8,4,2,2,10,4,6,14,9,1,5,3,9,12,-3,8,2021-2022_A
10.0,Guadalajara,17,5,7,5,13,13,0,22,8,3,2,3,9,10,-1,11,9,2,5,2,4,3,1,11,2021-2022_A
11.0,Pumas,17,5,6,6,17,23,-6,21,9,4,3,2,11,10,1,15,8,1,3,4,6,13,-7,6,2021-2022_A
12.0,Atlético de San Luis,17,4,8,5,19,23,-4,20,8,1,3,4,8,15,-7,6,9,3,5,1,11,8,3,14,2021-2022_A
13.0,Mazatlán FC,17,5,5,7,18,24,-6,20,9,4,3,2,13,12,1,15,8,1,2,5,5,12,-7,5,2021-2022_A
14.0,Necaxa,17,6,2,9,16,22,-6,20,8,4,0,4,10,10,0,12,9,2,2,5,6,12,-6,8,2021-2022_A
15.0,Pachuca,17,4,6,7,19,21,-2,18,9,2,5,2,10,7,3,11,8,2,1,5,9,14,-5,7,2021-2022_A
16.0,FC Juárez,17,4,4,9,14,25,-11,16,8,3,2,3,9,10,-1,11,9,1,2,6,5,15,-10,5,2021-2022_A
17.0,Querétaro,17,3,6,8,11,19,-8,15,8,3,2,3,8,7,1,11,9,0,4,5,3,12,-9,4,2021-2022_A
18.0,Tijuana,17,3,6,8,16,27,-11,15,9,2,4,3,9,11,-2,10,8,1,2,5,7,16,-9,5,2021-2022_A
