POS,equipo,goles,temporada
1,Pachuca,30,2021-2022_C
2,Tigres,30,2021-2022_C
3,Puebla,25,2021-2022_C
4,Guadalajara,25,2021-2022_C
5,Santos Laguna,25,2021-2022_C
6,América,24,2021-2022_C
7,Pumas,24,2021-2022_C
8,Atlas,21,2021-2022_C
9,Monterrey,21,2021-2022_C
10,Necaxa,21,2021-2022_C
11,Atlético de San Luis,21,2021-2022_C
12,Toluca,21,2021-2022_C
13,Cruz Azul,20,2021-2022_C
14,Mazatlán FC,20,2021-2022_C
15,Querétaro,18,2021-2022_C
16,León,17,2021-2022_C
17,Tijuana,14,2021-2022_C
18,FC Juárez,10,2021-2022_C
1,Tigres,26,2021-2022_A
2,Santos Laguna,23,2021-2022_A
3,Toluca,22,2021-2022_A
4,América,21,2021-2022_A
5,Atlas,21,2021-2022_A
6,Cruz Azul,21,2021-2022_A
7,León,20,2021-2022_A
8,Monterrey,19,2021-2022_A
9,Atlético de San Luis,19,2021-2022_A
10,Pachuca,19,2021-2022_A
11,Mazatlán FC,18,2021-2022_A
12,Pumas,17,2021-2022_A
13,Puebla,16,2021-2022_A
14,Necaxa,16,2021-2022_A
15,Tijuana,16,2021-2022_A
16,FC Juárez,14,2021-2022_A
17,Guadalajara,13,2021-2022_A
18,Querétaro,11,2021-2022_A
